Sede;Categoría;Cantidad;Mes
Garín;Ampliaciones;88;1
Belén de Escobar;Ampliaciones;8;1
Garín;Duplicado;20;1
Belén de Escobar;Duplicado;68;1
Garín;Principiante;211;1
Belén de Escobar;Principiante;191;1
Belén de Escobar;Profesional;30;1
Garín;Reemplazo;23;1
Belén de Escobar;Reemplazo;63;1
Garín;Renovación;894;1
Belén de Escobar;Renovación;1367;1
Garín;Ampliaciones;76;2
Belén de Escobar;Ampliaciones;29;2
Garín;Duplicado;12;2
Belén de Escobar;Duplicado;28;2
Garín;Principiante;178;2
Belén de Escobar;Principiante;231;2
Belén de Escobar;Profesional;22;2
Belén de Escobar;Reemplazo;32;2
Garín;Reemplazo;40;2
Garín;Renovación;744;2
Belén de Escobar;Renovación;1217;2
Belén de Escobar;Ampliaciones;15;3
Garín;Ampliaciones;70;3
Belén de Escobar;Duplicado;32;3
Garín;Duplicado;8;3
Belén de Escobar;Principiante;232;3
Garín;Principiante;194;3
Belén de Escobar;Profesional;22;3
Belén de Escobar;Reemplazo;32;3
Garín;Reemplazo;37;3
Belén de Escobar;Renovación;920;3
Garín;Renovación;567;3
Garín;Ampliaciones;77;4
Belén de Escobar;Ampliaciones;15;4
Garín;Duplicado;13;4
Belén de Escobar;Duplicado;27;4
Garín;Principiante;193;4
Belén de Escobar;Principiante;232;4
Belén de Escobar;Profesional;21;4
Belén de Escobar;Reemplazo;18;4
Garín;Reemplazo;25;4
Garín;Renovación;367;4
Belén de Escobar;Renovación;759;4
Garín;Ampliaciones;48;5
Belén de Escobar;Ampliaciones;17;5
Garín;Duplicado;3;5
Belén de Escobar;Duplicado;27;5
Garín;Principiante;186;5
Belén de Escobar;Principiante;184;5
Belén de Escobar;Profesional;20;5
Garín;Reemplazo;44;5
Belén de Escobar;Reemplazo;22;5
Belén de Escobar;Renovación;652;5
Garín;Renovación;308;5
Garín;Ampliaciones;68;6
Belén de Escobar;Ampliaciones;9;6
Garín;Duplicado;4;6
Belén de Escobar;Duplicado;23;6
Garín;Principiante;165;6
Belén de Escobar;Principiante;230;6
Belén de Escobar;Profesional;12;6
Garín;Reemplazo;40;6
Belén de Escobar;Reemplazo;18;6
Garín;Renovación;282;6
Belén de Escobar;Renovación;654;6
Garín;Ampliaciones;75;7
Belén de Escobar;Ampliaciones;21;7
Garín;Duplicado;1;7
Belén de Escobar;Duplicado;35;7
Garín;Principiante;204;7
Belén de Escobar;Principiante;226;7
Belén de Escobar;Profesional;24;7
Belén de Escobar;Reemplazo;29;7
Garín;Reemplazo;36;7
Garín;Renovación;414;7
Belén de Escobar;Renovación;726;7
Garín;Ampliaciones;78;8
Belén de Escobar;Ampliaciones;4;8
Garín;Duplicado;7;8
Belén de Escobar;Duplicado;33;8
Garín;Principiante;203;8
Belén de Escobar;Principiante;241;8
Belén de Escobar;Profesional;27;8
Garín;Reemplazo;46;8
Belén de Escobar;Reemplazo;45;8
Garín;Renovación;589;8
Belén de Escobar;Renovación;907;8
Garín;Ampliaciones;73;9
Belén de Escobar;Ampliaciones;1;9
Garín;Duplicado;10;9
Belén de Escobar;Duplicado;21;9
Garín;Principiante;222;9
Belén de Escobar;Principiante;241;9
Belén de Escobar;Profesional;22;9
Belén de Escobar;Reemplazo;32;9
Garín;Reemplazo;19;9
Garín;Renovación;596;9
Belén de Escobar;Renovación;847;9
Garín;Ampliaciones;73;10
Belén de Escobar;Ampliaciones;3;10
Garín;Duplicado;9;10
Belén de Escobar;Duplicado;27;10
Garín;Principiante;201;10
Belén de Escobar;Principiante;287;10
Belén de Escobar;Profesional;23;10
Belén de Escobar;Reemplazo;24;10
Garín;Reemplazo;41;10
Garín;Renovación;590;10
Belén de Escobar;Renovación;1045;10
Garín;Ampliaciones;62;11
Belén de Escobar;Ampliaciones;17;11
Garín;Duplicado;5;11
Belén de Escobar;Duplicado;30;11
Garín;Principiante;194;11
Belén de Escobar;Principiante;257;11
Belén de Escobar;Profesional;19;11
Garín;Reemplazo;41;11
Belén de Escobar;Reemplazo;29;11
Garín;Renovación;657;11
Belén de Escobar;Renovación;962;11
Garín;Ampliaciones;54;12
Belén de Escobar;Ampliaciones;36;12
Garín;Duplicado;6;12
Belén de Escobar;Duplicado;35;12
Garín;Principiante;181;12
Belén de Escobar;Principiante;225;12
Belén de Escobar;Profesional;21;12
Belén de Escobar;Reemplazo;38;12
Garín;Reemplazo;48;12
Garín;Renovación;792;12
Belén de Escobar;Renovación;985;12
