;P1_SEXO_Mujer / Femenino;P1_SEXO_Varón / Masculino;P_Total
62520101;701;670;1371
62520102;365;363;728
62520103;795;828;1623
62520104;123;130;253
62520105;780;757;1537
62520106;696;653;1349
62520107;466;393;859
62520108;449;385;834
62520109;259;247;506
62520110;529;474;1003
62520111;518;492;1010
62520112;585;521;1106
62520201;50;56;106
62520202;210;240;450
62520203;79;85;164
62520204;145;144;289
62520205;59;82;141
62520206;270;242;512
62520207;305;306;611
62520208;469;453;922
62520209;437;419;856
62520210;483;467;950
62520211;271;287;558
62520212;575;553;1128
62520301;64;63;127
62520302;203;167;370
62520303;148;160;308
62520304;231;222;453
62520305;167;166;333
62520306;244;257;501
62520307;256;257;513
62520401;605;640;1245
62520402;494;504;998
62520403;573;525;1098
62520404;467;465;932
62520405;681;631;1312
62520406;467;503;970
62520407;504;518;1022
62520408;377;400;777
62520409;355;358;713
62520410;484;499;983
62520411;313;295;608
62520501;356;278;634
62520502;389;337;726
62520503;378;315;693
62520504;369;277;646
62520505;295;251;546
62520506;434;344;778
62520601;29;23;52
62520602;59;76;135
62520603;158;162;320
62520604;64;66;130
62520605;164;147;311
62520606;71;55;126
62520607;253;301;554
62520608;91;104;195
62520609;485;453;938
62520610;424;421;845
62520611;275;263;538
62520612;295;320;615
62520613;381;372;753
62520701;650;603;1253
62520702;480;454;934
62520703;358;312;670
62520704;459;474;933
62520705;474;477;951
62520706;528;507;1035
62520707;500;502;1002
62520708;1009;950;1959
62520709;770;754;1524
62520710;608;547;1155
62520711;340;359;699
62520801;168;184;352
62520802;539;523;1062
62520803;632;591;1223
62520804;618;673;1291
62520805;579;549;1128
62520806;263;280;543
62520807;511;533;1044
62520808;507;458;965
62520901;733;685;1418
62520902;370;389;759
62520903;676;682;1358
62520904;636;619;1255
62520905;579;577;1156
62520906;506;486;992
62520907;718;735;1453
62520908;500;487;987
62520909;815;785;1600
62520910;756;730;1486
62520911;724;713;1437
62521001;269;287;556
62521002;256;293;549
62521003;93;87;180
62521004;597;543;1140
62521005;794;725;1519
62521006;486;497;983
62521007;518;437;955
62521008;835;718;1553
62521009;847;817;1664
62521101;447;441;888
62521102;338;319;657
62521103;278;281;559
62521104;664;575;1239
62521105;341;337;678
62521106;655;692;1347
62521107;643;555;1198
62521108;177;169;346
62521109;160;181;341
62521110;166;149;315
62521111;249;248;497
62521112;130;150;280
62521113;150;138;288
62521201;554;529;1083
62521202;367;346;713
62521203;364;370;734
62521204;399;408;807
62521205;378;356;734
62521206;393;383;776
62521207;541;453;994
62521208;490;463;953
62521301;383;394;777
62521302;368;385;753
62521303;386;393;779
62521304;325;322;647
62521305;587;564;1151
62521306;616;604;1220
62521307;458;423;881
62521308;512;498;1010
62521309;389;409;798
62521310;417;380;797
62521311;525;495;1020
62521312;598;539;1137
62521313;91;77;168
62521314;123;108;231
62521315;97;82;179
62521401;456;451;907
62521402;517;485;1002
62521403;692;633;1325
62521404;606;572;1178
62521405;810;801;1611
62521406;280;252;532
62521407;404;440;844
62521408;478;483;961
62521409;422;388;810
62521501;11;10;21
62521502;575;612;1187
62521503;466;431;897
62521504;640;623;1263
62521505;843;862;1705
62521506;361;368;729
62521507;391;384;775
62521508;572;557;1129
62521509;591;570;1161
62521510;18;18;36
62521511;732;741;1473
62521512;517;505;1022
62521513;149;146;295
62521601;86;93;179
62521602;208;222;430
62521701;544;538;1082
62521702;324;326;650
62521703;616;582;1198
62521704;685;703;1388
62521705;367;351;718
62521706;433;368;801
62521707;336;301;637
62521708;548;482;1030
62521709;328;313;641
62521710;704;686;1390
62521711;421;436;857
62521801;120;111;231
62521802;201;179;380
62521803;437;432;869
62521804;490;451;941
62521805;307;273;580
62521806;605;587;1192
62521807;536;479;1015
62521808;632;610;1242
62521809;503;468;971
62521810;629;554;1183
62521901;310;332;642
62521902;140;122;262
62521903;266;287;553
62521904;411;386;797
62521905;291;249;540
62521906;916;912;1828
62521907;613;610;1223
62521908;417;391;808
62521909;184;186;370
62521910;423;409;832
62521911;232;224;456
62521912;314;262;576
62522001;390;370;760
62522002;627;647;1274
62522003;598;592;1190
62522004;373;355;728
62522005;361;283;644
62522006;444;454;898
62522007;524;551;1075
62522008;672;709;1381
62522009;591;581;1172
62522010;550;502;1052
62522011;505;555;1060
62522012;61;55;116
62522013;133;132;265
62522014;288;299;587
62522015;518;514;1032
62522016;257;247;504
62522101;382;357;739
62522102;513;468;981
62522103;393;340;733
62522104;276;259;535
62522105;420;397;817
62522106;429;434;863
62522107;344;313;657
62522108;373;319;692
62522109;653;592;1245
62522201;153;147;300
62522202;358;369;727
62522203;272;241;513
62522204;257;269;526
62522205;331;294;625
62522206;284;258;542
62522207;324;282;606
62522208;269;269;538
62522301;287;226;513
62522302;311;310;621
62522303;206;179;385
62522304;286;262;548
62522305;248;221;469
62522306;254;245;499
62522307;302;257;559
62522308;291;288;579
62522309;276;235;511
62522310;222;196;418
62522311;333;291;624
62522401;503;505;1008
62522402;718;642;1360
62522403;323;270;593
62522404;469;427;896
62522405;414;410;824
62522406;471;472;943
62522407;827;795;1622
62522408;347;403;750
62522501;629;566;1195
62522502;628;564;1192
62522503;554;555;1109
62522504;632;579;1211
62522505;545;479;1024
62522506;406;407;813
62522507;580;570;1150
62522508;568;526;1094
62522509;525;499;1024
62522601;570;543;1113
62522602;523;483;1006
62522603;667;604;1271
62522604;373;375;748
62522605;733;756;1489
62522606;570;547;1117
62522607;830;782;1612
62522608;563;559;1122
62522701;713;702;1415
62522702;576;569;1145
62522703;147;146;293
62522704;292;283;575
62522705;216;216;432
62522706;484;443;927
62522707;638;623;1261
62522708;594;586;1180
62522709;173;173;346
62522710;218;214;432
62522711;421;364;785
62522712;381;336;717
62522713;392;331;723
62522801;437;448;885
62522802;443;454;897
62522803;349;370;719
62522804;323;316;639
62522805;336;368;704
62522806;579;575;1154
62522807;295;322;617
62522808;465;465;930
62522901;557;517;1074
62522902;578;531;1109
62522903;320;315;635
62522904;457;435;892
62522905;496;496;992
62522906;503;485;988
62522907;225;243;468
62522908;133;137;270
62522909;117;125;242
62523001;620;611;1231
62523002;721;711;1432
62523003;332;328;660
62523004;384;366;750
62523005;673;676;1349
62523006;484;496;980
62523007;675;669;1344
62523008;525;530;1055
62523009;552;547;1099
62523010;418;408;826
62523011;694;722;1416
62523012;707;670;1377
